molecule_id,name,molecular_weight,formula,logP,num_atoms,num_bonds,activity
MOL001,Aspirin,180.16,C9H8O4,1.19,21,21,Active
MOL002,Caffeine,194.19,C8H10N4O2,-0.07,24,25,Active
MOL003,Ibuprofen,206.28,C13H18O2,3.97,31,30,Active
MOL004,Paracetamol,151.16,C8H9NO2,0.46,20,20,Active
MOL005,Penicillin,334.39,C16H18N2O4S,1.83,40,42,Active
MOL006,Morphine,285.34,C17H19NO3,0.89,39,41,Active
MOL007,Glucose,180.16,C6H12O6,-3.24,24,24,Inactive
MOL008,Cholesterol,386.65,C27H46O,8.74,74,73,Inactive
MOL009,Dopamine,153.18,C8H11NO2,-1.49,21,21,Active
MOL010,Serotonin,176.21,C10H12N2O,-0.77,24,25,Active
MOL011,Ethanol,46.07,C2H6O,-0.31,9,8,Inactive
MOL012,Benzene,78.11,C6H6,2.13,12,12,Inactive
MOL013,Acetone,58.08,C3H6O,-0.24,10,9,Inactive
MOL014,Chloroform,119.38,CHCl3,1.97,5,4,Inactive
MOL015,Testosterone,288.42,C19H28O2,3.32,49,50,Active
MOL016,Estradiol,272.38,C18H24O2,4.01,42,44,Active
MOL017,Insulin,5807.57,C254H377N65O75S6,-1.50,777,790,Active
MOL018,Vancomycin,1449.25,C66H75Cl2N9O24,-3.10,174,180,Active
MOL019,Metformin,129.16,C4H11N5,-1.43,20,20,Active
MOL020,Atorvastatin,558.64,C33H35FN2O5,4.46,75,78,Active
